"memberID";"member_name";"address";"phone_number";"membership_date"
1;"Chiarra Casella";"39 Delaware Circle";"133-549-9123";"2004-08-28"
2;"Shirline Byas";"959 Sullivan Street";"268-288-3588";"2016-06-19"
3;"Johan Siddall";"488 Sloan Avenue";"763-990-3551";"2013-03-19"
4;"Halie Laible";"90 Weeping Birch Court";"585-442-7676";"2017-04-06"
5;"Nichol Cod";"76 Anniversary Hill";"709-962-6237";"2002-04-13"
6;"Gannon Krop";"391 Anderson Crossing";"846-575-9612";"2018-06-23"
7;"Marsh Offner";"67 Acker Lane";"389-784-3254";"2012-08-16"
8;"Ruperto Osorio";"951 Calypso Crossing";"915-719-3281";"2002-08-10"
9;"Lucienne Evered";"5280 Butternut Pass";"276-242-7631";"2008-11-15"
10;"Arlinda Flips";"96 Northwestern Parkway";"896-814-0009";"2012-10-31"
11;"Garfield Pedrollo";"1 Mitchell Center";"864-833-4908";"2014-07-21"
12;"Wallace Dunseith";"95766 Hanson Crossing";"572-983-5354";"2003-12-22"
13;"Celia Jemmison";"0118 Vera Plaza";"129-516-8864";"2010-06-07"
14;"Emogene Doust";"63 Grover Center";"767-635-8734";"2018-12-31"
15;"Reynold Cromer";"2 Bellgrove Avenue";"211-510-8056";"2015-12-13"
16;"Gilbertina Dewbury";"251 Upham Point";"774-593-1264";"2006-02-19"
17;"Maryjo Gilfillan";"9 Badeau Way";"962-146-4856";"2011-05-07"
18;"Kaja Hitcham";"71 Caliangt Crossing";"715-345-9592";"2009-09-03"
19;"Patty Frail";"7222 Declaration Hill";"683-686-7889";"2012-10-07"
20;"Calhoun Surmeyers";"7968 Hintze Road";"561-378-4803";"2015-01-21"
21;"Aggie Braybrooks";"1632 Kedzie Crossing";"446-343-8935";"2016-02-26"
22;"Isabel Pead";"7 Sauthoff Plaza";"556-465-8419";"2012-11-29"
23;"Lebbie Elphinston";"1 Scoville Parkway";"265-516-8414";"2005-08-16"
24;"Kariotta Handaside";"7 Talisman Court";"315-136-5274";"2005-06-08"
25;"Nat Ortes";"7431 Bellgrove Plaza";"513-725-3311";"2003-11-21"
26;"Lucia Detheridge";"59523 Fordem Hill";"685-933-0939";"2022-07-08"
27;"Nil Korpal";"046 Old Gate Drive";"628-879-8010";"2008-01-23"
28;"Dinny Kohter";"89069 Rowland Trail";"362-902-6194";"2018-06-05"
29;"Inglis Landrieu";"324 Brickson Park Crossing";"570-217-1980";"2018-10-29"
30;"Frankie McEnhill";"928 Loeprich Center";"643-645-0314";"2021-04-04"
31;"Skye Trodler";"8831 Cherokee Drive";"125-297-8384";"2022-01-30"
32;"Kahlil Bercevelo";"3435 Fremont Crossing";"856-390-6790";"2024-01-02"
33;"Gerianna Lovatt";"732 Barby Alley";"306-335-2710";"2016-03-23"
34;"Felipe Curston";"2 Banding Way";"845-831-2317";"2013-09-18"
35;"Tobiah Falkingham";"83501 Hoard Way";"480-192-5391";"2009-01-29"
36;"Carita Tant";"33 Sherman Road";"495-924-7664";"2007-07-19"
37;"Tracy Croley";"12 Porter Court";"306-813-3406";"2023-02-28"
38;"Shirl McAughtry";"406 Butternut Road";"234-453-2525";"2017-04-14"
39;"Flossie Cabera";"9218 Anhalt Court";"528-724-3317";"2005-08-21"
40;"Skylar Pauly";"6535 Truax Center";"197-208-1288";"2005-03-29"
41;"Shane Phillis";"0014 Rutledge Lane";"131-320-9936";"2004-09-28"
42;"Clare Bannerman";"068 Myrtle Terrace";"799-950-6754";"2003-03-30"
43;"Rania Grewar";"4 Chive Hill";"267-853-5281";"2005-11-10"
44;"Consalve Hymans";"1971 Cascade Place";"643-831-2629";"2018-04-08"
45;"Joey MacGuiness";"3209 Huxley Street";"177-625-7083";"2011-11-29"
46;"Lazar Lorrimer";"16 Ridgeview Terrace";"160-447-5157";"2019-03-06"
47;"Sammy Howton";"211 Kennedy Pass";"398-195-5194";"2023-06-07"
48;"Carolus Matevosian";"2785 Towne Alley";"958-426-3626";"2008-05-28"
49;"Oran Annand";"66 Butterfield Lane";"744-457-9297";"2007-01-23"
